SYMBOL	ENSEMBL_ID	CHROM	START	END	STRAND
NFIX	ENSG00000008441	19	12995475	13098796	+
NIPBL	ENSG00000164190	5	36876769	37066413	+
NOG	ENSG00000183691	17	56593699	56595611	+
NR2F1	ENSG00000175745	5	93583222	93594611	+
NR5A1	ENSG00000136931	9	124481236	124507420	-
NSD1	ENSG00000165671	5	177131830	177300213	+
PAX2	ENSG00000075891	10	100735396	100829944	+
PAX3	ENSG00000135903	2	222199887	222298998	-
PAX6	ENSG00000007372	11	31784779	31817961	-
PAX9	ENSG00000198807	14	36657568	36679362	+
PBX1	ENSG00000185630	1	164555584	164899296	+
PKD1	ENSG00000008710	16	2088708	2135898	-
PKD2	ENSG00000118762	4	88007635	88077777	+
PKP2	ENSG00000057294	12	32790745	32896777	-
POLR1D	ENSG00000186184	13	27620742	27744237	+
PTHLH	ENSG00000087494	12	27958084	27972733	-
PTPN11	ENSG00000179295	12	112418351	112509918	+
RAD21	ENSG00000164754	8	116845934	116874776	-
RASA1	ENSG00000145715	5	87267883	87391931	+
RB1	ENSG00000139687	13	48303744	48599436	+
RET	ENSG00000165731	10	43077064	43130351	+
RPS17	ENSG00000182774	15	82536750	82540459	-
RPS19	ENSG00000105372	19	41860255	41872925	+
RPS24	ENSG00000138326	10	78033760	78056813	+
RPS26	ENSG00000197728	12	56041351	56044697	+
SALL4	ENSG00000101115	20	51782331	51802521	-
SCN1A	ENSG00000144285	2	165984641	166149214	-
SDHAF2	ENSG00000167985	11	61430042	61446733	+
SDHB	ENSG00000117118	1	17018722	17054032	-
SDHC	ENSG00000143252	1	161314381	161363206	+
SDHD	ENSG00000204370	11	112086824	112120016	+
SHH	ENSG00000164690	7	155799980	155812463	-
SHOX	ENSG00000185960	X	624344	659411	+
SIX3	ENSG00000138083	2	44941702	44946071	+
SLC2A1	ENSG00000117394	1	42925353	42958893	-
SMAD3	ENSG00000166949	15	67063763	67195173	+
SMAD4	ENSG00000141646	18	51028394	51085045	+
SMARCB1	ENSG00000099956	22	23786931	23838009	+
SON	ENSG00000159140	21	33543038	33577481	+
SOX10	ENSG00000100146	22	37970686	37987422	-
SOX9	ENSG00000125398	17	72121020	72126416	+
SPRED1	ENSG00000166068	15	38252836	38357249	+
STK11	ENSG00000118046	19	1177558	1228431	+
SYNGAP1	ENSG00000197283	6	33419661	33453689	+
TBX3	ENSG00000135111	12	114670255	114684175	-
TBX5	ENSG00000089225	12	114353911	114408442	-
TCF20	ENSG00000100207	22	42160013	42343616	-
TCF4	ENSG00000196628	18	55222185	55664787	-
TCOF1	ENSG00000070814	5	150357629	150400308	+
TFAP2B	ENSG00000008196	6	50818723	50847619	+
TGIF1	ENSG00000177426	18	3411608	3459978	+
TP53	ENSG00000141510	17	7661779	7687538	-
TRPS1	ENSG00000104447	8	115408496	115809673	-
TSC1	ENSG00000165699	9	132891348	132946874	-
TSC2	ENSG00000103197	16	2047967	2089491	+
TWIST1	ENSG00000122691	7	19020991	19117636	-
UBE3A	ENSG00000114062	15	25333728	25439051	-
WDR26	ENSG00000162923	1	224385146	224437033	-
WT1	ENSG00000184937	11	32387775	32435564	-
ZIC2	ENSG00000043355	13	99981784	99986765	+
ZNF462	ENSG00000148143	9	106863166	107013634	+
