D_ID	GENE_SYMBOL	HGNC_ID	CLINGEN_LINK
D_ID:5601	ERF	HGNC:3444	https://search.clinicalgenome.org/kb/conditions/MONDO:0010929
D_ID:277	ETV6	HGNC:3495	https://search.clinicalgenome.org/kb/conditions/MONDO:0014536
D_ID:1103	EXT1	HGNC:3512	https://search.clinicalgenome.org/kb/conditions/MONDO:0007585
D_ID:2602	EXT2	HGNC:3513	https://search.clinicalgenome.org/kb/conditions/MONDO:0007586
D_ID:4630	EYA1	HGNC:3519	https://search.clinicalgenome.org/kb/conditions/MONDO:0007029;https://search.clinicalgenome.org/kb/conditions/MONDO:0007236
D_ID:6795	EYA1	HGNC:3519	https://search.clinicalgenome.org/kb/conditions/MONDO:0007029;https://search.clinicalgenome.org/kb/conditions/MONDO:0007236
D_ID:4192	FBN1	HGNC:3603	https://search.clinicalgenome.org/kb/conditions/MONDO:0007947
D_ID:7113	FBN1	HGNC:3603	https://search.clinicalgenome.org/kb/conditions/MONDO:0007947
D_ID:4869	FGFR1	HGNC:3688	https://search.clinicalgenome.org/kb/conditions/MONDO:0007844
D_ID:7385	FH	HGNC:3700	https://search.clinicalgenome.org/kb/conditions/MONDO:0007888
D_ID:563	FLCN	HGNC:27310	https://search.clinicalgenome.org/kb/conditions/MONDO:0007607
D_ID:4084	FOXC1	HGNC:3800	https://search.clinicalgenome.org/kb/conditions/MONDO:0024456
D_ID:222	FOXC2	HGNC:3801	https://search.clinicalgenome.org/kb/conditions/MONDO:0007922
D_ID:773	FOXF1	HGNC:3809	https://search.clinicalgenome.org/kb/conditions/MONDO:0009934
D_ID:2355	FZD4	HGNC:4042	https://search.clinicalgenome.org/kb/conditions/MONDO:0007589
D_ID:3105	GATA4	HGNC:4173	https://search.clinicalgenome.org/kb/conditions/MONDO:0011938
D_ID:443	GATA6	HGNC:4174	https://search.clinicalgenome.org/kb/conditions/MONDO:0010802
D_ID:1857	GDF5	HGNC:4220	https://search.clinicalgenome.org/kb/conditions/MONDO:0007221
D_ID:7796	GLI2	HGNC:4318	https://search.clinicalgenome.org/kb/conditions/MONDO:0012563
D_ID:2685	GLI3	HGNC:4319	https://search.clinicalgenome.org/kb/conditions/MONDO:0008287
D_ID:4322	GLMN	HGNC:14373	https://search.clinicalgenome.org/kb/conditions/MONDO:0007672
D_ID:1428	GNAS	HGNC:4392	https://search.clinicalgenome.org/kb/conditions/MONDO:0012912
D_ID:6895	HNF1B	HGNC:11630	https://search.clinicalgenome.org/kb/conditions/MONDO:0007669
D_ID:6951	IRF6	HGNC:6121	https://search.clinicalgenome.org/kb/conditions/MONDO:0007333
D_ID:2654	KCNQ1	HGNC:6294	https://search.clinicalgenome.org/kb/conditions/MONDO:0002442;https://search.clinicalgenome.org/kb/conditions/MONDO:0100316
D_ID:1972	KCNQ2	HGNC:6296	https://search.clinicalgenome.org/kb/conditions/MONDO:0007365
D_ID:3071	KIF11	HGNC:6388	https://search.clinicalgenome.org/kb/conditions/MONDO:0007918
D_ID:2266	KMT2A	HGNC:7132	https://search.clinicalgenome.org/kb/conditions/MONDO:0011518
D_ID:323	KMT2B	HGNC:15840	https://search.clinicalgenome.org/kb/conditions/MONDO:0015004
D_ID:4316	KMT2D	HGNC:7133	https://search.clinicalgenome.org/kb/conditions/MONDO:0007843
D_ID:1378	KMT2E	HGNC:18541	https://search.clinicalgenome.org/kb/conditions/MONDO:0032793
D_ID:7210	LEMD3	HGNC:28887	https://search.clinicalgenome.org/kb/conditions/MONDO:0008157
D_ID:7200	LMX1B	HGNC:6654	https://search.clinicalgenome.org/kb/conditions/MONDO:0008061
D_ID:3806	MEN1	HGNC:7010	https://search.clinicalgenome.org/kb/conditions/MONDO:0007540
D_ID:735	MITF	HGNC:7105	https://search.clinicalgenome.org/kb/conditions/MONDO:0008671;https://search.clinicalgenome.org/kb/conditions/MONDO:0019517
D_ID:7109	MNX1	HGNC:4979	https://search.clinicalgenome.org/kb/conditions/MONDO:0008305
D_ID:4624	MSH2	HGNC:7325	https://search.clinicalgenome.org/kb/conditions/MONDO:0007356;https://search.clinicalgenome.org/kb/conditions/MONDO:0005835
D_ID:7540	MSX1	HGNC:7391	https://search.clinicalgenome.org/kb/conditions/MONDO:0007129
D_ID:6977	MYCN	HGNC:7559	https://search.clinicalgenome.org/kb/conditions/MONDO:0008115
D_ID:3877	NF1	HGNC:7765	https://search.clinicalgenome.org/kb/conditions/MONDO:0018975
D_ID:7652	NF2	HGNC:7773	https://search.clinicalgenome.org/kb/conditions/MONDO:0007039
D_ID:2051	NFIX	HGNC:7788	https://search.clinicalgenome.org/kb/conditions/MONDO:0013885
D_ID:4445	NIPBL	HGNC:28862	https://search.clinicalgenome.org/kb/conditions/MONDO:0016033;https://search.clinicalgenome.org/kb/conditions/MONDO:0007387
D_ID:4932	NOG	HGNC:7866	https://search.clinicalgenome.org/kb/conditions/MONDO:0008519
D_ID:7192	NR2F1	HGNC:7975	https://search.clinicalgenome.org/kb/conditions/MONDO:0014320
D_ID:899	NR5A1	HGNC:7983	https://search.clinicalgenome.org/kb/conditions/MONDO:0013066
D_ID:2328	NR5A1	HGNC:7983	https://search.clinicalgenome.org/kb/conditions/MONDO:0013066
D_ID:1660	NSD1	HGNC:14234	https://search.clinicalgenome.org/kb/conditions/MONDO:0019349;https://search.clinicalgenome.org/kb/conditions/MONDO:0007299
D_ID:5709	PAX2	HGNC:8616	https://search.clinicalgenome.org/kb/conditions/MONDO:0014451
D_ID:5565	PAX3	HGNC:8617	https://search.clinicalgenome.org/kb/conditions/MONDO:0018094;https://search.clinicalgenome.org/kb/conditions/MONDO:0008670
D_ID:1791	PAX6	HGNC:8620	https://search.clinicalgenome.org/kb/conditions/MONDO:0024507
D_ID:6160	PAX9	HGNC:8623	https://search.clinicalgenome.org/kb/conditions/MONDO:0011477
D_ID:4819	PBX1	HGNC:8632	https://search.clinicalgenome.org/kb/conditions/MONDO:0060549
D_ID:3656	PKD1	HGNC:9008	https://search.clinicalgenome.org/kb/conditions/MONDO:0008263
D_ID:6507	PKD2	HGNC:9009	https://search.clinicalgenome.org/kb/conditions/MONDO:0013131
D_ID:7915	PKP2	HGNC:9024	https://search.clinicalgenome.org/kb/conditions/MONDO:0012180;https://search.clinicalgenome.org/kb/conditions/MONDO:0016587
D_ID:4329	POLR1D	HGNC:20422	https://search.clinicalgenome.org/kb/conditions/MONDO:0013385
D_ID:5110	PTHLH	HGNC:9607	https://search.clinicalgenome.org/kb/conditions/MONDO:0013244
D_ID:1494	PTPN11	HGNC:9644	https://search.clinicalgenome.org/kb/conditions/MONDO:0007979
D_ID:2429	RAD21	HGNC:9811	https://search.clinicalgenome.org/kb/conditions/MONDO:0016033
D_ID:4103	RASA1	HGNC:9871	https://search.clinicalgenome.org/kb/conditions/MONDO:0020783
D_ID:2557	RB1	HGNC:9884	https://search.clinicalgenome.org/kb/conditions/MONDO:0008380
D_ID:5618	RET	HGNC:9967	https://search.clinicalgenome.org/kb/conditions/MONDO:0007723
D_ID:2996	RPS17	HGNC:10397	https://search.clinicalgenome.org/kb/conditions/MONDO:0012924
D_ID:6783	RPS19	HGNC:10402	https://search.clinicalgenome.org/kb/conditions/MONDO:0015253;https://search.clinicalgenome.org/kb/conditions/MONDO:0007110
D_ID:1749	RPS24	HGNC:10411	https://search.clinicalgenome.org/kb/conditions/MONDO:0015253;https://search.clinicalgenome.org/kb/conditions/MONDO:0012529
D_ID:6539	RPS26	HGNC:10414	https://search.clinicalgenome.org/kb/conditions/MONDO:0013217
D_ID:2006	SALL4	HGNC:15924	https://search.clinicalgenome.org/kb/conditions/MONDO:0011812
D_ID:2703	SCN1A	HGNC:10585	https://search.clinicalgenome.org/kb/conditions/MONDO:0100062;https://search.clinicalgenome.org/kb/conditions/MONDO:0100079
D_ID:6377	SDHAF2	HGNC:26034	https://search.clinicalgenome.org/kb/conditions/MONDO:0000448;https://search.clinicalgenome.org/kb/conditions/MONDO:0011121
D_ID:7706	SDHB	HGNC:10681	https://search.clinicalgenome.org/kb/conditions/MONDO:0007273;https://search.clinicalgenome.org/kb/conditions/MONDO:0000448
D_ID:7783	SDHC	HGNC:10682	https://search.clinicalgenome.org/kb/conditions/MONDO:0000448;https://search.clinicalgenome.org/kb/conditions/MONDO:0011544
D_ID:1300	SDHD	HGNC:10683	https://search.clinicalgenome.org/kb/conditions/MONDO:0008192;https://search.clinicalgenome.org/kb/conditions/MONDO:0000448
D_ID:6903	SHH	HGNC:10848	https://search.clinicalgenome.org/kb/conditions/MONDO:0007733
D_ID:2899	SHOX	HGNC:10853	https://search.clinicalgenome.org/kb/conditions/MONDO:0007481
D_ID:6527	SIX3	HGNC:10889	https://search.clinicalgenome.org/kb/conditions/MONDO:0007999
D_ID:1022	SLC2A1	HGNC:11005	https://search.clinicalgenome.org/kb/conditions/MONDO:0000188
D_ID:2209	SMAD3	HGNC:6769	https://search.clinicalgenome.org/kb/conditions/MONDO:0018954
D_ID:3060	SMAD4	HGNC:6770	https://search.clinicalgenome.org/kb/conditions/MONDO:0017380;https://search.clinicalgenome.org/kb/conditions/MONDO:0008278
D_ID:2846	SMARCB1	HGNC:11103	https://search.clinicalgenome.org/kb/conditions/MONDO:0012252
D_ID:5458	SON	HGNC:11183	https://search.clinicalgenome.org/kb/conditions/MONDO:0014936
D_ID:5220	SOX10	HGNC:11190	https://search.clinicalgenome.org/kb/conditions/MONDO:0013202
D_ID:6769	SOX9	HGNC:11204	https://search.clinicalgenome.org/kb/conditions/MONDO:0007251
D_ID:879	SPRED1	HGNC:20249	https://search.clinicalgenome.org/kb/conditions/MONDO:0012669
D_ID:4987	STK11	HGNC:11389	https://search.clinicalgenome.org/kb/conditions/MONDO:0008280
D_ID:645	SYNGAP1	HGNC:11497	https://search.clinicalgenome.org/kb/conditions/MONDO:0012960
D_ID:4463	TBX3	HGNC:11602	https://search.clinicalgenome.org/kb/conditions/MONDO:0008411
D_ID:5490	TBX5	HGNC:11604	https://search.clinicalgenome.org/kb/conditions/MONDO:0007732
D_ID:7074	TCF20	HGNC:11631	https://search.clinicalgenome.org/kb/conditions/MONDO:0032745
D_ID:6214	TCF4	HGNC:11634	https://search.clinicalgenome.org/kb/conditions/MONDO:0012589
D_ID:555	TCOF1	HGNC:11654	https://search.clinicalgenome.org/kb/conditions/MONDO:0007944;https://search.clinicalgenome.org/kb/conditions/MONDO:0002457
D_ID:1874	TFAP2B	HGNC:11743	https://search.clinicalgenome.org/kb/conditions/MONDO:0008209
D_ID:4150	TGIF1	HGNC:11776	https://search.clinicalgenome.org/kb/conditions/MONDO:0007734
D_ID:1583	TP53	HGNC:11998	https://search.clinicalgenome.org/kb/conditions/MONDO:0007903;https://search.clinicalgenome.org/kb/conditions/MONDO:0018875
D_ID:926	TRPS1	HGNC:12340	https://search.clinicalgenome.org/kb/conditions/MONDO:0008596
D_ID:4606	TSC1	HGNC:12362	https://search.clinicalgenome.org/kb/conditions/MONDO:0001734;https://search.clinicalgenome.org/kb/conditions/MONDO:0008612
D_ID:8429	TSC2	HGNC:12363	https://search.clinicalgenome.org/kb/conditions/MONDO:0013199
D_ID:8548	TWIST1	HGNC:12428	https://search.clinicalgenome.org/kb/conditions/MONDO:0007399
D_ID:324	UBE3A	HGNC:12496	https://search.clinicalgenome.org/kb/conditions/MONDO:0007113
D_ID:70	WDR26	HGNC:21208	https://search.clinicalgenome.org/kb/conditions/MONDO:0054636
D_ID:8595	WT1	HGNC:12796	https://search.clinicalgenome.org/kb/conditions/MONDO:0008679
D_ID:7737	ZIC2	HGNC:12873	https://search.clinicalgenome.org/kb/conditions/MONDO:0016296
D_ID:134	ZNF462	HGNC:21684	https://search.clinicalgenome.org/kb/conditions/MONDO:0032836
