SYMBOL	ENSEMBL_ID	CHROM	START	END	STRAND	MANE_SELECT_TX	MANE_PLUS_CLINICAL	ALL_PC_TXs
COL3A1	ENSG00000168542	2	188974373	189012746	1	ENST00000304636	set()	{'ENST00000317840', 'ENST00000450867', 'ENST00000304636'}
COL5A1	ENSG00000130635	9	134641803	134844843	1	ENST00000371817	set()	{'ENST00000371817', 'ENST00000371820'}
CUL3	ENSG00000036257	2	224470150	224585397	-1	ENST00000264414	set()	{'ENST00000344951', 'ENST00000264414', 'ENST00000409096', 'ENST00000436172', 'ENST00000451538', 'ENST00000409777'}
CYLD	ENSG00000083799	16	50742050	50801935	1	ENST00000427738	set()	{'ENST00000562884', 'ENST00000564326', 'ENST00000564634', 'ENST00000569418', 'ENST00000566024', 'ENST00000311559', 'ENST00000568704', 'ENST00000427738', 'ENST00000398568', 'ENST00000566679', 'ENST00000566206'}
DICER1	ENSG00000100697	14	95086228	95158010	-1	ENST00000343455	set()	{'ENST00000526495', 'ENST00000541352', 'ENST00000531162', 'ENST00000696737', 'ENST00000527414', 'ENST00000696736', 'ENST00000529720', 'ENST00000532939', 'ENST00000343455', 'ENST00000393063', 'ENST00000674628', 'ENST00000696740'}
DLL1	ENSG00000198719	6	170282206	170306565	-1	ENST00000366756	set()	{'ENST00000630500', 'ENST00000366756'}
DSP	ENSG00000096696	6	7541617	7586714	1	ENST00000379802	set()	{'ENST00000418664', 'ENST00000683682', 'ENST00000379802'}
EFTUD2	ENSG00000108883	17	44849948	44899445	-1	ENST00000426333	set()	{'ENST00000593072', 'ENST00000592701', 'ENST00000592576', 'ENST00000590124', 'ENST00000426333', 'ENST00000591382', 'ENST00000402521'}
ELN	ENSG00000049540	7	74027789	74069907	1	ENST00000252034	set()	{'ENST00000428787', 'ENST00000685240', 'ENST00000380553', 'ENST00000320399', 'ENST00000357036', 'ENST00000438880', 'ENST00000380584', 'ENST00000380575', 'ENST00000445912', 'ENST00000621115', 'ENST00000320492', 'ENST00000458204', 'ENST00000429192', 'ENST00000692049', 'ENST00000438906', 'ENST00000252034', 'ENST00000380576', 'ENST00000414324', 'ENST00000442310', 'ENST00000417091', 'ENST00000380562', 'ENST00000431562'}
ENG	ENSG00000106991	9	127815013	127854658	-1	ENST00000373203	set()	{'ENST00000480266', 'ENST00000344849', 'ENST00000373203'}
ERF	ENSG00000105722	19	42247569	42255128	-1	ENST00000222329	set()	{'ENST00000222329', 'ENST00000593944', 'ENST00000598965', 'ENST00000440177'}
ETV6	ENSG00000139083	12	11649674	11895377	1	ENST00000396373	set()	{'ENST00000396373', 'ENST00000266427', 'ENST00000545027'}
EXT1	ENSG00000182197	8	117794490	118111826	-1	ENST00000378204	set()	{'ENST00000378204'}
EXT2	ENSG00000151348	11	44095648	44251962	1	ENST00000533608	set()	{'ENST00000682711', 'ENST00000683000', 'ENST00000343631', 'ENST00000395673', 'ENST00000533608', 'ENST00000684533', 'ENST00000358681', 'ENST00000682359'}
EYA1	ENSG00000104313	8	71197433	71592025	-1	ENST00000340726	set()	{'ENST00000340726', 'ENST00000645451', 'ENST00000388741', 'ENST00000303824', 'ENST00000643681', 'ENST00000388742', 'ENST00000388740', 'ENST00000419131', 'ENST00000644712', 'ENST00000647540', 'ENST00000644229', 'ENST00000388743', 'ENST00000645793'}
FBN1	ENSG00000166147	15	48408313	48645721	-1	ENST00000316623	set()	{'ENST00000560355', 'ENST00000316623'}
FGFR1	ENSG00000077782	8	38400215	38468834	-1	ENST00000447712	set()	{'ENST00000397108', 'ENST00000526742', 'ENST00000425967', 'ENST00000532791', 'ENST00000530568', 'ENST00000397091', 'ENST00000703405', 'ENST00000447712', 'ENST00000397103', 'ENST00000397113', 'ENST00000533668', 'ENST00000440174', 'ENST00000326324', 'ENST00000683765', 'ENST00000356207', 'ENST00000529552', 'ENST00000525001', 'ENST00000341462', 'ENST00000434187', 'ENST00000413133', 'ENST00000684654', 'ENST00000683815', 'ENST00000335922'}
FH	ENSG00000091483	1	241497511	241519799	-1	ENST00000366560	set()	{'ENST00000683521', 'ENST00000366560'}
FLCN	ENSG00000154803	17	17212212	17237188	-1	ENST00000285071	set()	{'ENST00000461699', 'ENST00000389169', 'ENST00000417064', 'ENST00000285071'}
FOXC1	ENSG00000054598	6	1609915	1613897	1	ENST00000645831	set()	{'ENST00000645831'}
FOXC2	ENSG00000176692	16	86566829	86569728	1	ENST00000649859	set()	{'ENST00000649859'}
FOXF1	ENSG00000103241	16	86510527	86515422	1	ENST00000262426	set()	{'ENST00000262426'}
FZD4	ENSG00000174804	11	86945679	86955395	-1	ENST00000531380	set()	{'ENST00000531380'}
GATA4	ENSG00000136574	8	11676959	11760002	1	ENST00000532059	set()	{'ENST00000528712', 'ENST00000532977', 'ENST00000526716', 'ENST00000335135', 'ENST00000526974', 'ENST00000622443', 'ENST00000532059'}
GATA6	ENSG00000141448	18	22169589	22202528	1	ENST00000269216	set()	{'ENST00000269216', 'ENST00000581694'}
GDF5	ENSG00000125965	20	35433347	35454746	-1	ENST00000374369	set()	{'ENST00000374369', 'ENST00000374372'}
GLI2	ENSG00000074047	2	120735623	120992653	1	ENST00000361492	set()	{'ENST00000361492', 'ENST00000452319', 'ENST00000482119', 'ENST00000418323'}
GLI3	ENSG00000106571	7	41960949	42264100	-1	ENST00000395925	set()	{'ENST00000647255', 'ENST00000677605', 'ENST00000437480', 'ENST00000677288', 'ENST00000678978', 'ENST00000395925', 'ENST00000678429', 'ENST00000642432', 'ENST00000428534', 'ENST00000479210'}
GLMN	ENSG00000174842	1	92246402	92298987	-1	ENST00000370360	set()	{'ENST00000495852', 'ENST00000370360', 'ENST00000463560'}
GNAS	ENSG00000087460	20	58839718	58911192	1	ENST00000371085	{'ENST00000371075', 'ENST00000371100'}	{'ENST00000492907', 'ENST00000469431', 'ENST00000603546', 'ENST00000485673', 'ENST00000464960', 'ENST00000472183', 'ENST00000371075', 'ENST00000470512', 'ENST00000423897', 'ENST00000453292', 'ENST00000488546', 'ENST00000306090', 'ENST00000349036', 'ENST00000480975', 'ENST00000683015', 'ENST00000604005', 'ENST00000682803', 'ENST00000338783', 'ENST00000484504', 'ENST00000419558', 'ENST00000371100', 'ENST00000491348', 'ENST00000371081', 'ENST00000477931', 'ENST00000663479', 'ENST00000467227', 'ENST00000467321', 'ENST00000461152', 'ENST00000371098', 'ENST00000265620', 'ENST00000676826', 'ENST00000464788', 'ENST00000657090', 'ENST00000354359', 'ENST00000371102', 'ENST00000478585', 'ENST00000476935', 'ENST00000482112', 'ENST00000371095', 'ENST00000306120', 'ENST00000371085', 'ENST00000656419', 'ENST00000481039', 'ENST00000493744', 'ENST00000488652', 'ENST00000667293', 'ENST00000468895', 'ENST00000480232', 'ENST00000313949', 'ENST00000462499'}
HNF1B	ENSG00000275410	17	37686431	37745059	-1	ENST00000617811	set()	{'ENST00000617811', 'ENST00000621123', 'ENST00000613727', 'ENST00000614313'}
IRF6	ENSG00000117595	1	209785617	209806175	-1	ENST00000367021	set()	{'ENST00000542854', 'ENST00000456314', 'ENST00000367021'}
KCNQ1	ENSG00000053918	11	2444684	2849105	1	ENST00000155840	set()	{'ENST00000380776', 'ENST00000526095', 'ENST00000496887', 'ENST00000335475', 'ENST00000646564', 'ENST00000155840'}
KCNQ2	ENSG00000075043	20	63400208	63472677	-1	ENST00000359125	set()	{'ENST00000370224', 'ENST00000629498', 'ENST00000629676', 'ENST00000626839', 'ENST00000360480', 'ENST00000344462', 'ENST00000344425', 'ENST00000359125', 'ENST00000637193', 'ENST00000627221', 'ENST00000629241', 'ENST00000706989', 'ENST00000629318', 'ENST00000626684', 'ENST00000636614', 'ENST00000625514', 'ENST00000357249'}
KIF11	ENSG00000138160	10	92574105	92655395	1	ENST00000260731	set()	{'ENST00000676757', 'ENST00000676647', 'ENST00000260731'}
KMT2A	ENSG00000118058	11	118436456	118526832	1	ENST00000534358	set()	{'ENST00000686370', 'ENST00000527869', 'ENST00000649690', 'ENST00000649699', 'ENST00000389506', 'ENST00000691002', 'ENST00000420751', 'ENST00000533790', 'ENST00000685498', 'ENST00000649666', 'ENST00000532204', 'ENST00000689424', 'ENST00000691053', 'ENST00000534358', 'ENST00000685397', 'ENST00000529852', 'ENST00000531904'}
KMT2B	ENSG00000272333	19	35717973	35738880	1	ENST00000420124	set()	{'ENST00000690290', 'ENST00000691421', 'ENST00000689139', 'ENST00000686920', 'ENST00000673918', 'ENST00000693677', 'ENST00000693161', 'ENST00000689929', 'ENST00000693540', 'ENST00000674101', 'ENST00000420124', 'ENST00000685168'}
KMT2D	ENSG00000167548	12	49018975	49060794	-1	ENST00000301067	set()	{'ENST00000686564', 'ENST00000685982', 'ENST00000687201', 'ENST00000692637', 'ENST00000685166', 'ENST00000650290', 'ENST00000683543', 'ENST00000685554', 'ENST00000689060', 'ENST00000689944', 'ENST00000691932', 'ENST00000691986', 'ENST00000684428', 'ENST00000301067', 'ENST00000685979'}
KMT2E	ENSG00000005483	7	104940943	105115019	1	ENST00000311117	set()	{'ENST00000495267', 'ENST00000478990', 'ENST00000474203', 'ENST00000473063', 'ENST00000476671', 'ENST00000311117', 'ENST00000622386', 'ENST00000479838'}
LEMD3	ENSG00000174106	12	65169583	65248355	1	ENST00000308330	set()	{'ENST00000308330'}
LMX1B	ENSG00000136944	9	126613928	126701032	1	ENST00000373474	set()	{'ENST00000373474', 'ENST00000355497', 'ENST00000526117'}
MEN1	ENSG00000133895	11	64803510	64811294	-1	ENST00000450708	set()	{'ENST00000312049', 'ENST00000377326', 'ENST00000672304', 'ENST00000377316', 'ENST00000450708', 'ENST00000413626', 'ENST00000377321', 'ENST00000394376', 'ENST00000315422', 'ENST00000440873', 'ENST00000424912', 'ENST00000429702', 'ENST00000377313'}
MITF	ENSG00000187098	3	69739456	69968336	1	ENST00000352241	{'ENST00000394351'}	{'ENST00000433517', 'ENST00000531774', 'ENST00000448226', 'ENST00000314557', 'ENST00000451708', 'ENST00000352241', 'ENST00000472437', 'ENST00000394348', 'ENST00000693031', 'ENST00000642352', 'ENST00000687384', 'ENST00000693549', 'ENST00000314589', 'ENST00000394351', 'ENST00000429090'}
MNX1	ENSG00000130675	7	156994051	157010663	-1	ENST00000252971	set()	{'ENST00000252971', 'ENST00000479817', 'ENST00000543409', 'ENST00000425745', 'ENST00000469500', 'ENST00000428439'}
MSH2	ENSG00000095002	2	47403067	47663146	1	ENST00000233146	set()	{'ENST00000645506', 'ENST00000406134', 'ENST00000543555', 'ENST00000233146'}
MSX1	ENSG00000163132	4	4859665	4863936	1	ENST00000382723	set()	{'ENST00000382723'}
MYCN	ENSG00000134323	2	15940550	15947007	1	ENST00000281043	set()	{'ENST00000281043', 'ENST00000638417'}
NF1	ENSG00000196712	17	31094927	31382116	1	ENST00000358273	set()	{'ENST00000468273', 'ENST00000684826', 'ENST00000490416', 'ENST00000693617', 'ENST00000487476', 'ENST00000691014', 'ENST00000456735', 'ENST00000431387', 'ENST00000358273', 'ENST00000686189', 'ENST00000356175', 'ENST00000687027', 'ENST00000689464', 'ENST00000696138'}
NF2	ENSG00000186575	22	29603556	29698598	1	ENST00000338641	set()	{'ENST00000334961', 'ENST00000672896', 'ENST00000403435', 'ENST00000361166', 'ENST00000397789', 'ENST00000361452', 'ENST00000338641', 'ENST00000353887', 'ENST00000413209', 'ENST00000403999', 'ENST00000361676'}
NFIX	ENSG00000008441	19	12995475	13098796	1	ENST00000592199	set()	{'ENST00000586873', 'ENST00000588228', 'ENST00000676441', 'ENST00000590027', 'ENST00000591028', 'ENST00000587260', 'ENST00000585575', 'ENST00000358552', 'ENST00000622520', 'ENST00000360105', 'ENST00000693124', 'ENST00000587760', 'ENST00000397661', 'ENST00000592199'}
NIPBL	ENSG00000164190	5	36876769	37066413	1	ENST00000282516	set()	{'ENST00000652901', 'ENST00000282516', 'ENST00000448238', 'ENST00000513819'}
NOG	ENSG00000183691	17	56593699	56595611	1	ENST00000332822	set()	{'ENST00000332822'}
NR2F1	ENSG00000175745	5	93583222	93594611	1	ENST00000327111	set()	{'ENST00000512697', 'ENST00000700211', 'ENST00000327111', 'ENST00000502982', 'ENST00000647447', 'ENST00000615873'}
NR5A1	ENSG00000136931	9	124481236	124507420	-1	ENST00000373588	set()	{'ENST00000455734', 'ENST00000373587', 'ENST00000373588', 'ENST00000620110'}
NSD1	ENSG00000165671	5	177131830	177300213	1	ENST00000439151	set()	{'ENST00000511258', 'ENST00000354179', 'ENST00000508029', 'ENST00000347982', 'ENST00000638627', 'ENST00000503056', 'ENST00000644863', 'ENST00000687453', 'ENST00000689345', 'ENST00000508896', 'ENST00000439151', 'ENST00000686993'}
PAX2	ENSG00000075891	10	100735396	100829944	1	ENST00000355243	set()	{'ENST00000679374', 'ENST00000355243', 'ENST00000707079', 'ENST00000361791', 'ENST00000554172', 'ENST00000370296', 'ENST00000707078', 'ENST00000428433', 'ENST00000427256'}
PAX3	ENSG00000135903	2	222199887	222298998	-1	ENST00000392070	set()	{'ENST00000409551', 'ENST00000392070', 'ENST00000350526', 'ENST00000344493', 'ENST00000336840', 'ENST00000392069', 'ENST00000258387', 'ENST00000409828'}
PAX6	ENSG00000007372	11	31784779	31817961	-1	ENST00000640368	set()	{'ENST00000638696', 'ENST00000455099', 'ENST00000379107', 'ENST00000379109', 'ENST00000640684', 'ENST00000640125', 'ENST00000638878', 'ENST00000640613', 'ENST00000638762', 'ENST00000639061', 'ENST00000639386', 'ENST00000606377', 'ENST00000638802', 'ENST00000640368', 'ENST00000638685', 'ENST00000638250', 'ENST00000638629', 'ENST00000524853', 'ENST00000379132', 'ENST00000638755', 'ENST00000639950', 'ENST00000639079', 'ENST00000640460', 'ENST00000379129', 'ENST00000640766', 'ENST00000639916', 'ENST00000640287', 'ENST00000379111', 'ENST00000638346', 'ENST00000379123', 'ENST00000638965', 'ENST00000639920', 'ENST00000639006', 'ENST00000643871', 'ENST00000640872', 'ENST00000481563', 'ENST00000379115', 'ENST00000639548', 'ENST00000640335', 'ENST00000639109', 'ENST00000423822', 'ENST00000639034', 'ENST00000638963', 'ENST00000640963', 'ENST00000241001', 'ENST00000419022', 'ENST00000640242', 'ENST00000638914', 'ENST00000640610', 'ENST00000438681', 'ENST00000638853', 'ENST00000639409', 'ENST00000639943', 'ENST00000640431', 'ENST00000640975'}
PAX9	ENSG00000198807	14	36657568	36679362	1	ENST00000361487	set()	{'ENST00000361487', 'ENST00000402703', 'ENST00000555639'}
PBX1	ENSG00000185630	1	164555584	164899296	1	ENST00000420696	set()	{'ENST00000560641', 'ENST00000558837', 'ENST00000627490', 'ENST00000699848', 'ENST00000482110', 'ENST00000367897', 'ENST00000559560', 'ENST00000699845', 'ENST00000559578', 'ENST00000485769', 'ENST00000340699', 'ENST00000420696', 'ENST00000699846', 'ENST00000540236', 'ENST00000699847', 'ENST00000559240'}
PKD1	ENSG00000008710	16	2088708	2135898	-1	ENST00000262304	set()	{'ENST00000262304', 'ENST00000488185', 'ENST00000567946', 'ENST00000483024', 'ENST00000423118'}
PKD2	ENSG00000118762	4	88007635	88077777	1	ENST00000237596	set()	{'ENST00000237596', 'ENST00000502363', 'ENST00000508588'}
PKP2	ENSG00000057294	12	32790745	32896777	-1	ENST00000340811	set()	{'ENST00000700556', 'ENST00000070846', 'ENST00000700557', 'ENST00000700559', 'ENST00000546741', 'ENST00000700563', 'ENST00000340811', 'ENST00000700555'}
POLR1D	ENSG00000186184	13	27620742	27744237	1	ENST00000302979	set()	{'ENST00000685267', 'ENST00000489647', 'ENST00000302979', 'ENST00000692944', 'ENST00000637071', 'ENST00000621089', 'ENST00000627604', 'ENST00000637180', 'ENST00000630983', 'ENST00000636817', 'ENST00000399697', 'ENST00000693488', 'ENST00000399696'}
PTHLH	ENSG00000087494	12	27958084	27972733	-1	ENST00000545234	set()	{'ENST00000534890', 'ENST00000395872', 'ENST00000535992', 'ENST00000545234', 'ENST00000395868', 'ENST00000538310', 'ENST00000539239', 'ENST00000201015', 'ENST00000542963'}
PTPN11	ENSG00000179295	12	112418351	112509918	1	ENST00000351677	set()	{'ENST00000635625', 'ENST00000688597', 'ENST00000687906', 'ENST00000639857', 'ENST00000530818', 'ENST00000392597', 'ENST00000635652', 'ENST00000690210', 'ENST00000351677'}
RAD21	ENSG00000164754	8	116845934	116874776	-1	ENST00000297338	set()	{'ENST00000517749', 'ENST00000522699', 'ENST00000520992', 'ENST00000687358', 'ENST00000519837', 'ENST00000517485', 'ENST00000297338'}
RASA1	ENSG00000145715	5	87267883	87391931	1	ENST00000274376	set()	{'ENST00000506290', 'ENST00000456692', 'ENST00000274376', 'ENST00000512763'}
RB1	ENSG00000139687	13	48303744	48599436	1	ENST00000267163	set()	{'ENST00000646097', 'ENST00000643064', 'ENST00000650461', 'ENST00000267163'}
RET	ENSG00000165731	10	43077064	43130351	1	ENST00000355710	set()	{'ENST00000340058', 'ENST00000498820', 'ENST00000683278', 'ENST00000355710', 'ENST00000615310', 'ENST00000684216', 'ENST00000640619', 'ENST00000638465'}
RPS17	ENSG00000182774	15	82536750	82540459	-1	ENST00000647841	set()	{'ENST00000647841', 'ENST00000561157'}
RPS19	ENSG00000105372	19	41860255	41872925	1	ENST00000598742	set()	{'ENST00000598742', 'ENST00000600467', 'ENST00000221975', 'ENST00000601492', 'ENST00000593863', 'ENST00000598261'}
RPS24	ENSG00000138326	10	78033760	78056813	1	ENST00000372360	set()	{'ENST00000440692', 'ENST00000372360', 'ENST00000645195', 'ENST00000464716', 'ENST00000645440', 'ENST00000613865', 'ENST00000360830', 'ENST00000435275'}
RPS26	ENSG00000197728	12	56041351	56044697	1	ENST00000646449	set()	{'ENST00000356464', 'ENST00000646449', 'ENST00000552361'}
SALL4	ENSG00000101115	20	51782331	51802521	-1	ENST00000217086	set()	{'ENST00000217086', 'ENST00000395997', 'ENST00000371539'}
SCN1A	ENSG00000144285	2	165984641	166149214	-1	ENST00000674923	set()	{'ENST00000641603', 'ENST00000637988', 'ENST00000303395', 'ENST00000375405', 'ENST00000635776', 'ENST00000637285', 'ENST00000674923', 'ENST00000409050', 'ENST00000641575', 'ENST00000635750', 'ENST00000640036'}
SDHAF2	ENSG00000167985	11	61430042	61446733	1	ENST00000301761	set()	{'ENST00000543265', 'ENST00000534878', 'ENST00000301761', 'ENST00000542074', 'ENST00000537782'}
SDHB	ENSG00000117118	1	17018722	17054032	-1	ENST00000375499	set()	{'ENST00000491274', 'ENST00000375499', 'ENST00000463045'}
SDHC	ENSG00000143252	1	161314381	161363206	1	ENST00000367975	set()	{'ENST00000432287', 'ENST00000513009', 'ENST00000367975', 'ENST00000342751', 'ENST00000392169'}
SDHD	ENSG00000204370	11	112086824	112120016	1	ENST00000375549	set()	{'ENST00000526592', 'ENST00000528048', 'ENST00000528021', 'ENST00000528182', 'ENST00000525291', 'ENST00000375549'}
SHH	ENSG00000164690	7	155799980	155812463	-1	ENST00000297261	set()	{'ENST00000430104', 'ENST00000297261'}
SHOX	ENSG00000185960	X	624344	659411	1	ENST00000686671	set()	{'ENST00000686671', 'ENST00000381578', 'ENST00000334060', 'ENST00000381575'}
SIX3	ENSG00000138083	2	44941702	44946071	1	ENST00000260653	set()	{'ENST00000260653'}
SLC2A1	ENSG00000117394	1	42925353	42958893	-1	ENST00000426263	set()	{'ENST00000426263', 'ENST00000475162', 'ENST00000674765', 'ENST00000372500', 'ENST00000460369'}
SMAD3	ENSG00000166949	15	67063763	67195173	1	ENST00000327367	set()	{'ENST00000327367', 'ENST00000537194', 'ENST00000558827', 'ENST00000559460', 'ENST00000681239', 'ENST00000558428', 'ENST00000439724', 'ENST00000679624', 'ENST00000559092', 'ENST00000560175', 'ENST00000558739', 'ENST00000540846', 'ENST00000558894', 'ENST00000560424'}
SMAD4	ENSG00000141646	18	51028394	51085045	1	ENST00000342988	set()	{'ENST00000589076', 'ENST00000398417', 'ENST00000342988', 'ENST00000589941', 'ENST00000588745', 'ENST00000588860', 'ENST00000590061', 'ENST00000593223'}
SMARCB1	ENSG00000099956	22	23786931	23838009	1	ENST00000644036	set()	{'ENST00000634926', 'ENST00000417137', 'ENST00000635578', 'ENST00000344921', 'ENST00000644036', 'ENST00000263121', 'ENST00000407422', 'ENST00000407082'}
SON	ENSG00000159140	21	33543038	33577481	1	ENST00000356577	set()	{'ENST00000356577', 'ENST00000421541', 'ENST00000381679', 'ENST00000381692', 'ENST00000436227', 'ENST00000300278', 'ENST00000704334'}
SOX10	ENSG00000100146	22	37970686	37987422	-1	ENST00000396884	set()	{'ENST00000651746', 'ENST00000360880', 'ENST00000446929', 'ENST00000396884', 'ENST00000427770', 'ENST00000698177'}
SOX9	ENSG00000125398	17	72121020	72126416	1	ENST00000245479	set()	{'ENST00000245479'}
SPRED1	ENSG00000166068	15	38252836	38357249	1	ENST00000299084	set()	{'ENST00000299084', 'ENST00000561317'}
STK11	ENSG00000118046	19	1177558	1228431	1	ENST00000326873	set()	{'ENST00000585851', 'ENST00000326873', 'ENST00000652231', 'ENST00000585748', 'ENST00000585465'}
SYNGAP1	ENSG00000197283	6	33419661	33453689	1	ENST00000646630	set()	{'ENST00000646630', 'ENST00000449372', 'ENST00000682587', 'ENST00000428982', 'ENST00000629380', 'ENST00000644458', 'ENST00000418600', 'ENST00000645250', 'ENST00000628646'}
TBX3	ENSG00000135111	12	114670255	114684175	-1	ENST00000349155	set()	{'ENST00000257566', 'ENST00000349155'}
TBX5	ENSG00000089225	12	114353911	114408442	-1	ENST00000405440	set()	{'ENST00000405440', 'ENST00000310346', 'ENST00000526441', 'ENST00000349716'}
