ABBREV	DISEASE	OMOP	SYMBOLS
GVM	GLOMUVENOUS MALFORMATIONS	37399712	GLMN
PPHP	PSEUDOPSEUDOHYPOPARATHYROIDISM	45446479,45453145,4030184,4239780,4030185,35206895	GNAS
RCAD	RENAL CYSTS AND DIABETES SYNDROME	43531014	HNF1B
VWS1	VAN DER WOUDE SYNDROME 1	4195568,35210910	IRF6
LQT1	LONG QT SYNDROME 1	4049219,314664,45562352,45503439	KCNQ1
MCLMR	MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR IMPAIRED INTELLECTUAL DEVELOPMENT	37116727	KIF11
WDSTS	WIEDEMANN-STEINER SYNDROME	35622250	KMT2A
DYT28	DYSTONIA 28, CHILDHOOD-ONSET	45486817	KMT2B
KABUK1	KABUKI SYNDROME 1	45470811,4197599,35211198,44835070	KMT2D
BUOLS	BUSCHKE-OLLENDORFF SYNDROME	35211135,45420787,42496619,45433894,37093529,45534412,78854,37607609,1426850	LEMD3
NPS	NAIL-PATELLA SYNDROME	37093634,45923511,35211190,45611913,1427038,4318821,42496683,37608957,45420788,45424001,45463982,45568096	LMX1B
WAARS	WAARDENBURG SYNDROME	37396221,605211,4170892,4029099,45450499	PAX3,MITF,SOX10
CURR	CURRARINO TRIAD	4185325,45470809	MNX1
LYNCH1	LYNCH SYNDROME 1	37396489	MSH2
STHAG	TOOTH AGENESIS, SELECTIVE	45510112,45503495,35208111,4033001,45506757,45426863,37204065,45516889,44825484,438794,45523446,45476995	MSX1,PAX9
FGLDS	FEINGOLD SYNDROME	45765482,45773859	MYCN
NF1	NEUROFIBROMATOSIS, TYPE I	45479979,37093612,377252,45568095,45459750,44829870,45548935,45470028,45443074,1426991,35211180,42496671,4111475,4219205,605228,45453057,376938,44827608,37615231,45456439,45572998	NF1
SWNV	SCHWANNOMATOSIS, VESTIBULAR	3543616,4219205,45493175,45568095,45544120,376938,380975,44832183,45470028,45909034	NF2
MALNS	MALAN SYNDROME	35607962	NFIX
CDLS1	CORNELIA DE LANGE SYNDROME	45447143,4227105,45523823,45453827,45450500	RAD21,NIPBL
SYNS1	MULTIPLE SYNOSTOSES SYNDROME 1	45765388,45463980	NOG
BBSOAS	BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME	36674867	NR2F1
SRXY	46,XY SEX REVERSAL	37110719	NR5A1
SOTOS	SOTOS SYNDROME	35211191,4328336	NSD1
PAPRS	PAPILLORENAL SYNDROME	40487865	PAX2
AN1	ANIRIDIA 1	44823390,4099983,45470709,440195,45487296,35210751,45520466,37209440,4100890	PAX6
ADPKD	POLYCYSTIC KIDNEY DISEASE	42496464,45592380,4109022,44820018,45558415,37612318,45427225,37093364,45453773,35623051,1426387,37608919,44824574,45463946,35211020,37093365,45433872,4109809,35211019,4109637,45440479,1426390	PKD1,PKD2
METCDS	METACHONDROMATOSIS	45433891,4005115,37093526,45534411,1426839,37607608,35211132	PTPN11
CMAVM1	CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION 1	45766387	RASA1
RB1	RETINOBLASTOMA	44835680,45552273,45436498,45595679,4045999,4062561,4029038,602691,37612778,45600520,4094084,1567589,45429888,45516590,602692,45449753,37093142,45571530,4158977,1406366	RB1
HSCR1	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1	45460454,194149,45443762,45447092,36715838,44825759,45433855,37093266,45487324,45601961,1426084,4005775,35210946,45513879,45440467,4002470,36717345,4005774,45483983,42496367	RET
DBA	DIAMOND-BLACKFAN ANEMIA	44829910,4228194,45519889,45420167,45532992,4146087,45483365,45463307,37605893,45483364,37081736,45490015,1408545,45532991,4217370	RPS26,RPS19,RPS24,RPS17
DRRS	DUANE-RADIAL RAY SYNDROME	44783874	SALL4
DEE6	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 6	4043550	SCN1A
PPGL3	PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME	36716386,37396883	SDHAF2,SDHB,SDHD,SDHC
LWD	LERI-WEILL DYSCHONDROSTEOSIS	35211135,35622394,37093529,45534412,44828116,4075151,440076,45474023,37607609,1426850	SHOX
GLUT1DS	GLUT1 DEFICIENCY SYNDROME	45470199,45470200,725267,40482875	SLC2A1
LDS3	LOEYS-DIETZ SYNDROME 3	45544122,45503898,40486979	SMAD3
JPHT	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME	607076	SMAD4
RTPS1	RHABDOID TUMOR PREDISPOSITION SYNDROME 1	36675670	SMARCB1
CMPD	CAMPOMELIC DYSPLASIA	4326424	SOX9
LGSS	LEGIUS SYNDROME	45766393	SPRED1
PJS	PEUTZ-JEGHERS SYNDROME	35211182,37402973,4182399,4204838,45587491,45493956	STK11
MRD5	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5	36683256	SYNGAP1
UMS	ULNAR-MAMMARY SYNDROME	45763718,45420796,45453818	TBX3
HOS	HOLT-ORAM SYNDROME	44835070,45490637,35211190,4078058	TBX5
PTHS	PITT-HOPKINS SYNDROME	45765412	TCF4
CHAR	CHAR SYNDROME	45771354	TFAP2B
LFS	LI-FRAUMENI SYNDROME	45497223,4323645	TP53
TRPS	TRICHORHINOPHALANGEAL SYNDROME	37311766,4106126,45447142,4109177	TRPS1
TSC	TUBEROUS SCLEROSIS	37611166,45520546,44833897,1426994,37093613,35211181,45470808,380839,45523819,42496672,45606781	TSC2,TSC1
SCS	SAETHRE-CHOTZEN SYNDROME	1427023,45587493,45420776,37609425,35211188,42496681,4305814,37093632	TWIST1
ANGEL	ANGELMAN SYNDROME; AS	45490638,4296631,1595688,45477382	UBE3A
